data for 5-dAdo-2minusBHandHLYP_sbdft_aab_1806097
Atom ID,A(iso) value
4H,-0.7645
5H,-0.9504
20H,0.0028
21H,-0.0803
22H,-0.4168
23H,-0.5126
24H,-0.0108
25H,-0.0013
26H,0.0607
27H,-0.0390
28H,0.1813
29H,0.1108
30H,0.3450
32H,0.7366
33H,0.3416
34H,0.1179
40H,0.1012
41H,0.0833
42H,0.0530
43H,0.0608
49H,-0.0061
50H,0.0616
51H,0.0459
52H,0.0560
2C,16.2418
3C,0.4722
10C,-0.3967
11C,-0.1056
14C,0.1346
16C,-0.0431
18C,0.0770
31C,-0.1900
36C,0.0594
38C,0.1899
39C,0.1010
45C,0.0328
47C,0.0271
48C,0.1469
0Fe:,-12.0265
1Fe:,-9.3754
