data for 5-dAdo-2minusbp86_3A_sbdft_aab_1806065
Atom ID,A(iso) value
4H,0.3111
5H,0.2151
20H,0.0063
21H,-0.0294
22H,-0.1548
23H,-0.0582
24H,0.0067
25H,-0.0031
26H,-0.0234
27H,-0.0276
28H,0.2242
29H,0.0007
30H,0.5265
32H,1.0256
33H,1.0987
34H,1.3010
40H,0.0760
41H,0.2915
42H,0.1817
43H,0.0571
49H,-0.1163
50H,0.0357
51H,0.1347
52H,0.1514
2C,7.9284
3C,1.1181
10C,-0.0553
11C,-0.0106
14C,0.2699
16C,-0.0218
18C,0.0849
31C,-0.8926
36C,0.5605
38C,0.3050
39C,0.2403
45C,0.3276
47C,0.3186
48C,0.2683
0Fe:,-6.9315
1Fe:,-6.7436
