data for 5-dAdo-2minusbp86_3A_sbdft_aba_1806075
Atom ID,A(iso) value
4H,-6.3639
5H,-5.1886
20H,-0.0704
21H,0.0168
22H,-4.0664
23H,-2.2349
24H,0.0374
25H,0.0067
26H,0.6410
27H,-0.0272
28H,1.3147
29H,-0.0716
30H,-0.2900
32H,2.4959
33H,0.8743
34H,-4.3038
40H,2.4693
41H,2.8827
42H,1.2163
43H,4.0917
49H,-0.0864
50H,0.7969
51H,0.8906
52H,1.4550
2C,54.7533
3C,0.0627
10C,0.4053
11C,1.3332
14C,2.5813
16C,-0.1180
18C,0.3558
31C,7.2176
36C,3.1778
38C,4.3721
39C,6.1822
45C,-0.6092
47C,0.9764
48C,2.2284
0Fe:,31.9586
1Fe:,-42.4477
