data for 5-dAdo_neutralbp86_sbdft_aab_1806089
Atom ID,A(iso) value
4H,2.6365
5H,2.1611
20H,0.0068
21H,0.0331
22H,-0.0510
23H,0.0400
24H,0.0069
25H,0.0028
26H,0.8922
27H,0.1435
28H,0.0006
29H,-0.0073
33H,0.6812
34H,1.9031
40H,0.1510
41H,0.2320
42H,0.1946
43H,-0.0408
49H,-0.0279
50H,0.1338
51H,0.2158
52H,0.2688
53H,0.0588
54H,-0.0318
55H,-0.0881
56H,0.0054
57H,0.0104
58H,0.0014
2C,4.9064
3C,2.3980
10C,0.1632
11C,0.0294
14C,-0.0282
16C,-0.0121
18C,0.1287
31C,0.9992
36C,0.8828
38C,0.4392
39C,0.7881
45C,0.7786
47C,0.6940
48C,0.4263
0Fe:,-4.2641
1Fe:,-6.9029
